"Date","Site","Year","Sample.UP","Location.UP","Time.UP","CArea.km2.UP","Cond.uScm.UP","Sp_Cond.uScm.UP","Temp.C.UP","DO.mgL.UP","DO.pct.UP","TSS.mgL.UP","Chl.mgL.UP","PO4.ugL.UP","NH4.ugL.UP","Cl.mgL.UP","NO3.mgL.UP","SO4.mgL.UP","Br.mgL.UP","DOC.mgL.UP","TDN.mgL.UP","DIN.mgL.UP","DON.mgL.UP","TDP.mgL.UP","Q_est.m3s.UP","CH4.mM.UP","CH4.uatm.UP","N2O.mM.UP","N2O.uatm.UP","Gas_Flag.UP","AFDM.pct.UP","AFDM.mgL.UP","Ash.pct.UP","Ash.mgL.UP","PC.mgL.UP","PN.mgL.UP","TN.mgL.UP","DateTime.UP","DateTime2.UP","DO.mgLCA.UP","DO.pctCA.UP","TSSCA.UP","ChlCA.UP","PO4CA.UP","NH4CA.UP","ClCA.UP","NO3CA.UP","SO4CA.UP","BrCA.UP","DOCCA.UP","TDNCA.UP","DONCA.UP","DINCA.UP","TDPCA.UP","N2OCA.UP","CH4CA.UP","AFDM.mgLCA.UP","Ash.mgLCA.UP","PCCA.UP","PNCA.UP","TNCA.UP","Sample.OUT","Location.OUT","Time.OUT","CArea.km2.OUT","Cond.uScm.OUT","Sp_Cond.uScm.OUT","Temp.C.OUT","DO.mgL.OUT","DO.pct.OUT","TSS.mgL.OUT","Chl.mgL.OUT","PO4.ugL.OUT","NH4.ugL.OUT","Cl.mgL.OUT","NO3.mgL.OUT","SO4.mgL.OUT","Br.mgL.OUT","DOC.mgL.OUT","TDN.mgL.OUT","DIN.mgL.OUT","DON.mgL.OUT","TDP.mgL.OUT","Q_est.m3s.OUT","CH4.mM.OUT","CH4.uatm.OUT","N2O.mM.OUT","N2O.uatm.OUT","Gas_Flag.OUT","AFDM.pct.OUT","AFDM.mgL.OUT","Ash.pct.OUT","Ash.mgL.OUT","PC.mgL.OUT","PN.mgL.OUT","TN.mgL.OUT","DateTime.OUT","DateTime2.OUT","DO.mgLCA.OUT","DO.pctCA.OUT","TSSCA.OUT","ChlCA.OUT","PO4CA.OUT","NH4CA.OUT","ClCA.OUT","NO3CA.OUT","SO4CA.OUT","BrCA.OUT","DOCCA.OUT","TDNCA.OUT","DONCA.OUT","DINCA.OUT","TDPCA.OUT","N2OCA.OUT","CH4CA.OUT","AFDM.mgLCA.OUT","Ash.mgLCA.OUT","PCCA.OUT","PNCA.OUT","TNCA.OUT","Time","Discharge.m3s","HL.myr","RCl","RNO3","RSO4","RBr","RDOC","RTDN","RDON","RDIN","RTDP","RDO.mgL","RDO.pct","RTSS","RChl","RPO4","RNH4","RN2O","RCH4","RAFDM.mgL","RAsh.mgL","RPC","RPN","RTN","RFlag","PDIN.UP","PDIN.OUT","PDON.UP","PDON.OUT","PPN.UP","PPN.OUT","cTN","cDIN","cDON","VfNO3","Ntrans","Date3","Time2.UP","Time2.OUT"
2015-11-18,"SMD","2015","SMD_UP","UP","13:15",111.9,384.6,631,4.5,9.1,70.3,1.428571429,NA,16.588,35.410999,166.6098,0.1175,3.9551,0.1481,9.563827,0.51995,0.152910999,0.367039001,24.2,3.21676391,0.788595702,19.15410006,0.041776795,1.018139302,NA,77.92682927,1.113240418,22.07317073,0.31533101,0.37239288,0.029528434,0.549478434,2015-11-18 13:15:00,2015-11-18 13:15:00,1018.29,7866.57,159.8571429051,NA,1856.1972,3962.4907881,18643.63662,13.14825,442.57569,16.57239,1070.1922413,58.182405,41.0716642119,17.1107407881,2707.98,113.9297878938,2143.343796714,124.5716027742,35.285540019,41.670763272,3.3042317646,61.4866367646,"SMD_OUT","OUT","12:35",113.8,383.7,627,4.8,8.84,68.8,1.166666667,NA,12.552,15.322,163.1329,0.0805,3.7136,0.1729,9.929238,0.488467,0.095822,0.392645,37.02,3.271382779,0.548532198,13.32322836,0.032479821,0.79156341,NA,100,1.166666667,0,0,0.441250642,0.035669235,0.524136235,2015-11-18 12:35:00,2015-11-18 12:30:00,1005.992,7829.44,132.7666667046,NA,1428.4176,1743.6436,18564.52402,9.1609,422.60768,19.67602,1129.9472844,55.5875446,44.683001,10.9045436,4212.876,90.079916058,1516.183387368,132.7666667046,0,50.2143230596,4.059158943,59.646703543,NA,0.724910589641141,512.481625603547,0.00424341031808849,0.30326089023254,0.0451177289019196,-0.18727715193765,-0.0558358029464065,0.0445987133051652,-0.0879276955875984,0.362707685480001,-0.555726408614539,0.012077109664241,0.00471997325390864,0.169466785832538,NA,0.23046021187835,0.559962737267064,0.209338332640729,0.292608404824047,-0.0657859716652636,1,-0.205025277118951,-0.228472828839653,0.029924115521949,0,27.8283895305707,18.2818881049123,66.7977082063243,74.9127753016351,5.37390226310502,6.80533659345266,0.025342199,0.057088999,-0.025605999,185.182284945116,87.2329253262258,"20151118","1315","1235"
2016-03-09,"SMD","2016","SMD_UP","UP","13:45",111.9,366,539,8.3,10.85,92.3,NA,NA,NA,0,145.49,0.32,4.85,NA,6.119462881,0.543775764,0.32,0.223775764,NA,NA,0.954747489,23.15056769,0.055786478,1.35270178,NA,100,1,0,0,0.346498889,0.032167111,0.575942875,2016-03-09 13:45:00,2016-03-09 13:45:00,1214.115,10328.37,NA,NA,NA,0,16280.331,35.808,542.715,NA,684.7678963839,60.8485079916,25.0405079916,35.808,NA,151.367329182,2590.548524511,111.9,0,38.7732256791,3.5994997209,64.4480077125,"SMD_OUT","OUT","12:45",113.8,348.2,537,6.7,10.42,85.2,NA,NA,NA,5.084467826,143.56,0.35,5.01,0.2,6.078987063,0.568207116,0.355084468,0.213122648,NA,NA,1.206130471,29.2460629,0.043491072,1.054564703,NA,100,0.875,0,0,0.393962207,0.033231025,0.601438141,2016-03-09 12:45:00,2016-03-09 12:45:00,1185.796,9695.76,NA,NA,NA,578.6124385988,16337.128,39.83,570.138,22.76,691.7887277694,64.6619698008,24.2533573424,40.4086124584,NA,120.0094632014,3328.20195802,99.575,0,44.8328991566,3.781690645,68.4436604458,NA,1.39885090344814,988.929386906844,-0.00348868828281186,-0.11232126899017,-0.0505292833255021,NA,-0.0102528629373184,-0.0626714102788917,0.0314350910717968,-0.128480017269884,NA,0.0233248086054451,0.0612497422148897,NA,NA,NA,NA,0.207164030376041,-0.284747969987646,0.110142984807864,NA,-0.15628499747872,-0.0506156238996583,-0.0619980799270701,0,55.5610658435526,59.0392334296604,38.8538123681103,35.4355059101581,5.58512178833708,5.52526066018151,-0.0254952660000001,-0.035084468,0.010653116,-105.270608650586,14.9288062341797,"20160309","1345","1245"
2016-04-06,"SMD","2016","SMD_UP","UP","14:15",111.9,337,531,6,12.46,100.5,NA,NA,NA,0,157.96,0.18,3.82,NA,7.192650298,0.437424595,0.18,0.257424595,NA,NA,NA,NA,NA,NA,NA,51.14427861,1.095948827,48.85572139,1.046908316,0.523551684,0.056892218,0.494316813,2016-04-06 13:15:00,2016-04-06 13:15:00,1394.274,11245.95,NA,NA,NA,0,17675.724,20.142,427.458,NA,804.8575683462,48.9478121805,28.8058121805,20.142,NA,NA,NA,122.6366737413,117.1490405604,58.5854334396,6.3662391942,55.3140513747,"SMD_OUT","OUT","15:45",113.8,375.1,598,5.6,12.2,97.1,NA,NA,NA,0,160.69,0.21,4.13,NA,7.24700354,0.486187578,0.21,0.276187578,NA,NA,NA,NA,NA,NA,NA,84.18234065,1.44312584,15.81765935,0.271159875,0.469465284,0.052103094,0.538290672,2016-04-06 14:45:00,2016-04-06 14:45:00,1388.36,11049.98,NA,NA,NA,0,18286.522,23.898,469.994,NA,824.709002852,55.3281463764,31.4301463764,23.898,NA,NA,NA,164.227720592,30.857993775,53.4251493192,5.9293320972,61.2574784736,NA,2.67310779930171,1889.77599441308,-0.0345557556793713,-0.186476020256181,-0.0995091915463038,NA,-0.0246645310754672,-0.13034973192207,-0.0911043292046643,-0.186476020256181,NA,0.00424163399733497,0.0174258288539431,NA,NA,NA,NA,NA,NA,-0.339140369531186,0.736592005983266,0.0880813508996245,0.0686287592520945,-0.107448775694243,0,36.4138939372875,39.012379542033,52.0768438843289,51.3082600844326,11.5092621783836,9.67936037353439,-0.043973859,-0.03,-0.018762983,-323.128235746438,12.0527936630634,"20160406","1415","1545"
2016-05-26,"SMD","2016","SMD_UP","UP","13:45",111.9,511,555,20.8,6.99,78.3,3,NA,NA,69.27050764,165.05,0.26,2.73,NA,8.938892755,0.737730779,0.329270508,0.408460271,NA,NA,0.586853548,14.22993298,0.050861209,1.233274631,NA,57.23200357,1.716960107,42.76799643,1.283039893,0.639974583,0.062074739,0.799805518,2016-05-26 12:45:00,2016-05-26 12:45:00,782.181,8761.77,335.7,NA,NA,7751.369804916,18469.095,29.094,305.487,NA,1000.2620992845,82.5520741701,45.7067043249,36.8453698452,NA,138.0034312089,1592.329500462,192.1278359733,143.5721640267,71.6131558377,6.9461632941,89.4982374642,"SMD_OUT","OUT","13:00",113.8,562,621,20.2,7.13,78.8,3,NA,NA,59.31060491,159.76,0.25,2.9,NA,8.761955605,0.723770007,0.309310605,0.414459402,NA,NA,0.691480253,16.76690495,0.053373972,1.29420373,NA,65.80152672,1.974045802,34.19847328,1.025954198,0.71893811,0.07104841,0.794818417,2016-05-26 12:00:00,2016-05-26 12:00:00,811.394,8967.44,341.4,NA,NA,6749.546838758,18180.688,28.45,330.02,NA,997.110547849,82.3650267966,47.1654799476,35.199546849,NA,147.280384474,1908.07378331,224.6464122676,116.7535877324,81.815156918,8.085309058,90.4503358546,NA,0.273823648508978,193.58192654634,0.0156156541508939,0.0221351481405101,-0.0803078363400078,NA,0.00315072563256603,0.00226581070651937,-0.031916009789953,0.0446683803993465,NA,-0.0373481329768941,-0.0234735675554138,-0.0169794459338693,NA,NA,0.129244635641385,-0.0672226276103033,-0.19829079518805,-0.169254892866326,0.186795096919432,-0.142459872923646,-0.163996398539548,-0.0106381803416055,0,41.1688217434879,38.9158829720474,51.0699491073029,52.1451683976266,7.76122914920925,8.93894863032596,0.00498710099999999,0.019959903,-0.00599913099999999,4.33310043970635,438.593041829578,"20160526","1345","1300"
2016-06-09,"SMD","2016","SMD_UP","UP","14:05",111.9,539,599,19.8,6.18,67.7,1.833333333,NA,NA,32.30820195,160.05,0.21,2.04,NA,10.92105141,0.70731624,0.242308202,0.465008038,NA,NA,0.410504813,9.987541252,0.063111304,1.53549174,NA,100,1.833333333,0,0,0.580651429,0.053951429,0.761267669,2016-06-09 13:05:00,2016-06-09 13:00:00,691.542,7575.63,205.1499999627,NA,NA,3615.287798205,17909.595,23.499,228.276,NA,1222.065652779,79.148687256,52.0343994522,27.1142878038,NA,171.821525706,1117.6058660988,205.1499999627,0,64.9748949051,6.0371649051,85.1858521611,"SMD_OUT","OUT","13:10",113.8,529,580,20.4,5.96,66,3.166666667,NA,NA,26.99625383,148.48,0.2,2.15,NA,10.49200773,0.672912908,0.226996254,0.445916654,NA,NA,1.936958283,47.12600229,0.062579055,1.522542175,NA,66.37710782,2.101941748,33.62289218,1.064724919,0.815928414,0.074868943,0.747781851,2016-06-09 12:10:00,2016-06-09 12:15:00,678.248,7510.8,360.3666667046,NA,NA,3072.173685854,16897.024,22.76,244.67,NA,1193.990479674,76.5774889304,50.7453152252,25.8321737052,NA,173.265299515,5362.939060602,239.2009709224,121.1656957822,92.8526535132,8.5200857134,85.0975746438,NA,0.385108750746856,272.255863601884,0.05653790607772,0.031448146729648,-0.0718165729204996,NA,0.0229735391393717,0.0324856724064628,0.0247736927988222,0.0472855532063916,NA,0.0192237058631292,0.00855770411173735,-0.756600861662789,NA,NA,0.150227075316288,-0.0084027528161425,-3.79859601965251,-0.16598084799362,NA,-0.42905430857283,-0.411272649882813,0.00103629317616091,0,31.829566900995,30.3559458813343,61.0833819608856,59.631917169918,7.08705113811946,10.0121369487476,0.0134858179999999,0.015311948,0.019091384,8.69946179589337,817.372180033514,"20160609","1405","1310"
2016-06-28,"SMD","2016","SMD_UP","UP","12:55",111.9,716,745,23,4.17,48.6,1.4,NA,NA,11.72440298,195.03,0.16,2.26,NA,7.181085778,0.550257551,0.171724403,0.378533148,NA,NA,NA,NA,NA,NA,NA,100,1.4,0,0,0.420490277,0.038620923,0.588878474,2016-06-28 11:55:00,2016-06-28 12:00:00,466.623,5438.34,156.66,NA,NA,1311.960693462,21823.857,17.904,252.894,NA,803.5634985582,61.5738199569,42.3578592612,19.2159606957,NA,NA,NA,156.66,0,47.0528619963,4.3216812837,65.8955012406,"SMD_OUT","OUT","12:00",113.8,710,733,23.4,3.69,43.1,1.4,NA,NA,0,194.66,0,2.07,NA,8.049581199,0.435180899,0,0.435180899,NA,NA,NA,NA,NA,NA,NA,100,1.4,0,0,0.582463597,0.06921355,0.504394449,2016-06-28 11:00:00,2016-06-28 11:00:00,419.922,4904.78,159.32,NA,NA,0,22152.308,0,235.566,NA,916.0423404462,49.5235863062,49.5235863062,0,NA,NA,NA,159.32,0,66.2843573386,7.87650199,57.4000882962,NA,0.0523861168295356,37.0348049752563,-0.0150500894502744,1,0.0685188260694204,NA,-0.139975051243388,0.195703850421085,-0.169171133054966,1,NA,0.1000829363319,0.0981108205812804,-0.0169794459338695,NA,NA,1,NA,NA,-0.0169794459338695,NA,-0.408721053860916,-0.82255503655664,0.128922502818231,0,29.1612634154462,0,64.2803506517713,86.2778922057487,6.55838593278246,13.7221077942513,0.0844840250000001,0.171724403,-0.056647751,Inf,99.1726169611606,"20160628","1255","1200"
2016-07-14,"SMD","2016","SMD_UP","UP","11:05",111.9,746,773,24.8,3.74,43.7,2,NA,NA,14.82303938,199.24,0.16,3.15,NA,6.257080664,0.487334356,0.174823039,0.312511317,NA,NA,0.402615584,9.795597094,0.070757268,1.721517279,NA,99.63662791,1.992732558,0.363372093,0.007267442,0.445591728,0.044997438,0.532331794,2016-07-14 10:05:00,2016-07-14 10:00:00,418.506,4890.03,223.8,NA,NA,1658.698106622,22294.956,17.904,352.485,NA,700.1673263016,54.5327144364,34.9700163723,19.5626980641,NA,192.6377835201,1096.1273148186,222.9867732402,0.8132267598,49.8617143632,5.0352133122,59.5679277486,"SMD_OUT","OUT","11:40",113.8,747,755,24.5,4.96,59.5,1.833333333,NA,NA,0,200.75,0,2.26,NA,7.469042316,0.406511456,0,0.406511456,NA,NA,0.427829085,10.40903906,0.070250154,1.709179264,NA,100,1.833333333,0,0,0.641979036,0.071010482,0.477521938,2016-07-14 10:40:00,2016-07-14 10:45:00,564.448,6771.1,208.6333332954,NA,NA,0,22845.35,0,257.188,NA,849.9770155608,46.2610036928,46.2610036928,0,NA,194.5046002432,1184.548645028,208.6333332954,0,73.0572142968,8.0809928516,54.3419965444,NA,0.0322811746949571,22.8214473901579,-0.0246869291870321,1,0.270357603869668,NA,-0.213962696674979,0.15168345880246,-0.322876237754457,1,NA,-0.348721404233153,-0.38467453164909,0.067768841396783,NA,NA,1,-0.00969081292873784,-0.0806670256402039,0.0643690194545242,1,-0.465196598830128,-0.604895830732785,0.0877306195081266,0,32.8409914587969,0,58.706115344296,85.1293780768665,8.45289319690719,14.8706219231335,0.054809856,0.174823039,-0.094000139,Inf,92.7772068487242,"20160714","1105","1140"
2016-07-26,"SMD","2016","SMD_UP","UP","12:30",111.9,782,789,24.5,3.57,43.1,2.833333333,NA,NA,2.207162593,203.46,0.01,3.01,NA,6.496466219,0.366822975,0.012207163,0.354615812,NA,NA,0.997790075,24.07144409,0.0555378,1.339835995,NA,80.8867167,2.291790307,19.1132833,0.541543027,0.727351282,0.091356,0.458178975,2016-07-26 11:30:00,2016-07-26 11:30:00,399.483,4822.89,317.0499999627,NA,NA,246.9814941567,22767.174,1.119,336.819,NA,726.9545699061,41.0474909025,39.6815093628,1.3659815397,NA,149.9276478405,2693.594593671,256.4513353533,60.5986647213,81.3906084558,10.2227364,51.2702273025,"SMD_OUT","OUT","14:00",113.8,818,773,28,5.82,74.7,6,NA,NA,124.6033006,204.62,0,2.29,NA,7.274758387,0.438571373,0.124603301,0.313968072,NA,NA,0.577828572,13.93997446,0.054187566,1.307261913,NA,65.67754698,3.940652819,34.32245302,2.059347181,1.613296636,0.19367682,0.632248193,2016-07-26 13:00:00,2016-07-26 13:00:00,662.316,8500.86,682.8,NA,NA,14179.85560828,23285.756,0,260.602,NA,827.8675044406,49.9094222474,35.7295665936,14.1798556538,NA,148.7664056994,1586.369093548,448.4462908022,234.3537091978,183.5931571768,22.040422116,71.9498443634,NA,0.0113267279631428,8.00752540005542,-0.0227776183376996,1,0.226284740468917,NA,-0.138816012323211,-0.215894593069031,0.0995915435843982,NA,NA,-0.657932878245132,-0.762607067546637,-1.15360353281921,NA,NA,-56.4126237947344,0.00774535022609974,0.411058703015142,-0.74866038495919,-2.86730813749146,-1.25570444379344,-1.15601980268219,-0.40334553109913,0,2.66427829867139,19.7079726568708,77.3967884493172,49.6589908007851,19.9389332520114,30.6330365423441,-0.174069218,-0.112396138,0.04064774,Inf,11.2617112287461,"20160726","1230","1400"
2016-08-10,"SMD","2016","SMD_UP","UP","10:45",111.9,718,771,21.4,4.75,53.8,3.5,NA,NA,12.38839649,203.77,0.02,2.96,NA,7.223874501,0.426854296,0.032388396,0.3944659,NA,NA,0.767786947,18.5226743,0.057530219,1.394983753,NA,66.29191704,2.320217096,33.70808296,1.179782904,0.783456418,0.09918542,0.526039716,2016-08-10 09:45:00,2016-08-10 09:45:00,531.525,6020.22,391.65,NA,NA,1386.261567231,22801.863,2.238,331.224,NA,808.3515566619,47.7649957224,44.14073421,3.6242615124,NA,156.0986819607,2072.68725417,259.6322930424,132.0177069576,87.6687731742,11.098848498,58.8638442204,"SMD_OUT","OUT","11:25",113.8,687,704,23.7,5.09,67.3,3.666666667,NA,NA,42.04677351,153.03,0.14,1.85,NA,6.630614646,0.582666487,0.182046774,0.400619713,NA,NA,0.370520135,8.938708601,0.049350155,1.196634835,NA,64.83073983,2.377127127,35.16926017,1.28953954,1.018273685,0.161262397,0.743928884,2016-08-10 10:25:00,2016-08-10 10:30:00,579.242,7658.74,417.2666667046,NA,NA,4784.922825438,17414.814,15.932,210.53,NA,754.5639467148,66.3074462206,45.5905233394,20.7169228812,NA,136.177044223,1017.2250387938,270.5170670526,146.749599652,115.879545353,18.3516607786,84.6591069992,NA,0.0455900800516499,32.2302897352231,0.236254774445404,-6.11885612153709,0.364387846291332,NA,0.0665398730339765,-0.388201657254714,-0.032844699014353,NA,NA,-0.0897737641691359,-0.27216945560129,-0.0654070386942421,NA,NA,-2.45167386772158,0.127622075263362,0.509224058406658,-0.0419238064828184,-0.111590278561128,-0.321788148246862,-0.653474302483447,-0.438219132991323,1,6.15702484334852,24.470991504075,74.9878550995188,53.8518831055362,18.8551200571327,21.6771253903888,-0.217889168,-0.149658378,-0.00615381300000001,-63.259906273454,14.552441475835,"20160810","1045","1125"
2016-08-23,"SMD","2016","SMD_UP","UP","11:00",111.9,725,793,20.6,NA,NA,6.142857143,NA,NA,0,198.75,0,5.78,NA,6.316059714,0.351815145,0,0.351815145,NA,NA,0.510615183,12.27656818,0.069274357,1.665542664,NA,41.98144912,2.578860446,58.01855088,3.563996697,1.210312069,0.14429844,0.496113585,2016-08-23 10:00:00,2016-08-23 10:00:00,NA,NA,687.3857143017,NA,NA,0,22240.125,0,646.782,NA,706.7670819966,39.3681147255,39.3681147255,0,NA,186.3742241016,1373.747979342,288.5744839074,398.8112303943,135.4339205211,16.146995436,55.5151101615,"SMD_OUT","OUT","12:30",113.8,700,716,23.8,NA,NA,5.4,NA,NA,0,194.71,0,2.59,NA,6.926666348,0.398134993,0,0.398134993,NA,NA,0.481575457,11.57837473,0.069168274,1.66299212,NA,75.00824266,4.050445104,24.99175734,1.349554896,1.268719103,0.169647178,0.567782171,2016-08-23 11:30:00,2016-08-23 11:30:00,NA,NA,614.52,NA,NA,0,22157.998,0,294.742,NA,788.2546304024,45.3077622034,45.3077622034,0,NA,189.248503256,1317.619044274,460.9406528352,153.5793471648,144.3802339214,19.3058488564,64.6136110598,NA,0.00736237317604284,5.20489151003602,0.00369274003630827,NA,0.544294677341052,NA,-0.115296185237716,-0.150874572463403,-0.150874572463403,NA,NA,NA,NA,0.106004114990552,NA,NA,NA,-0.0154220851528971,0.0408582475912974,-0.597302182070644,0.614907165445271,-0.0660566670881111,-0.195631034449746,-0.163892332588936,0,0,0,70.9142332798647,70.1210804662621,29.0857667201353,29.8789195337379,-0.0716685859999999,0,-0.046319848,NA,NA,"20160823","1100","1230"
2016-09-07,"SMD","2016","SMD_UP","UP","11:00",111.9,667,750,19.2,2.42,26.2,8.717948718,NA,NA,24.56161094,194.8,0.04,4.67,NA,6.097490294,0.412045905,0.064561611,0.347484294,NA,NA,1.287771842,30.96151336,0.025091437,0.603265914,NA,55.47174864,4.835998599,44.52825136,3.881950119,1.646576923,0.154294552,0.566340457,2016-09-07 10:00:00,2016-09-07 10:00:00,270.798,2931.78,975.5384615442,NA,NA,2748.444264186,21798.12,4.476,522.573,NA,682.3091638986,46.1079367695,38.8834924986,7.2244442709,NA,67.5054557766,3464.593344984,541.1482432281,434.3902183161,184.2519576837,17.2655603688,63.3734971383,"SMD_OUT","OUT","11:45",113.8,693,754,20.7,3.08,34.4,2.682926829,NA,NA,12.16706532,196.98,0.01,2.7,NA,6.883877625,0.401326027,0.022167065,0.379158962,NA,NA,0.588114994,14.13987296,0.023534305,0.56582827,NA,100,2.682926829,0,0,0.929132326,0.108595959,0.509921986,2016-09-07 10:45:00,2016-09-07 10:45:00,350.504,3914.72,305.3170731402,NA,NA,1384.612033416,22416.324,1.138,307.26,NA,783.385273725,45.6709018726,43.1482898756,2.522611997,NA,64.391257126,1609.117542848,305.3170731402,0,105.7352586988,12.3582201342,58.0291220068,NA,0.00509702758341427,3.60338643002494,-0.028360427413006,0.745755138516533,0.412024731472923,NA,-0.148138285654656,0.00947851774597507,-0.109681438136082,0.65082269273485,NA,-0.294337476643107,-0.335270722905538,0.687027128938712,NA,NA,0.496219715473809,0.046132547581132,0.535553704974449,0.435797719089138,1,0.426137664814869,0.284227104697273,0.0843313904523364,0,11.3997879194422,4.34714831064374,61.3560782573582,74.3562686861672,27.2441338231996,21.296583003189,0.056418471,0.042394546,-0.031674668,4.93468440892657,26.8192348714402,"20160907","1100","1145"
2016-09-21,"SMD","2016","SMD_UP","UP","12:45",111.9,624,703,19.1,2.78,29.8,3.050847458,NA,NA,60.63859194,187.3,0.06,3.91,NA,6.007287041,0.451883966,0.120638592,0.331245374,NA,NA,2.043984381,49.14290532,0.026291924,0.632128858,NA,NA,NA,NA,NA,NA,NA,NA,2016-09-21 11:45:00,2016-09-21 11:45:00,311.082,3334.62,341.3898305502,NA,NA,6785.458438086,20958.87,6.714,437.529,NA,672.2154198879,50.5658157954,37.0663573506,13.4994584448,NA,70.7352192102,5499.091105308,NA,NA,NA,NA,NA,"SMD_OUT","OUT","14:10",113.8,702,741,22.2,6.48,74.2,NA,NA,NA,12.60972767,199.2,0.01,3.06,NA,7.021495408,0.422366905,0.022609728,0.399757177,NA,NA,1.131362582,27.20101228,0.021475928,0.516339319,NA,NA,NA,NA,NA,NA,NA,NA,2016-09-21 13:10:00,2016-09-21 13:15:00,737.424,8443.96,NA,NA,NA,1434.987008846,22668.96,1.138,348.228,NA,799.0461774304,48.065353789,45.4923667426,2.5729870464,NA,58.7594145022,3095.475197464,NA,NA,NA,NA,NA,NA,0.00339801838894285,2.40225762001663,-0.0815926621998226,0.830503425677688,0.204103042312624,NA,-0.188675763438528,0.0494496522416924,-0.227322294238433,0.809400721005137,NA,-1.37051324088183,-1.53221056672125,NA,NA,NA,0.788520256672477,0.169304694913183,0.437093305387123,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.098028864,-0.068511803,4.26382125155475,NA,"20160921","1245","1410"
2016-10-05,"SMD","2016","SMD_UP","UP","10:45",111.9,523,685,12.6,4.57,43,12.25806452,NA,NA,32.7508643,171.92,0.05,5.87,NA,5.676541781,0.459711971,0.082750864,0.376961107,NA,NA,0.862264133,20.55427171,0.02623448,0.62536595,NA,64.55108359,7.912713472,35.44891641,4.345351044,1.718940727,0.118334666,0.578046637,2016-10-05 09:45:00,2016-10-05 09:45:00,511.383,4811.7,1371.677419788,NA,NA,3664.82171517,19237.848,5.595,656.853,NA,635.2050252939,51.4417695549,42.1819478733,9.2598216816,NA,69.978449805,2300.023004349,885.4326375168,486.2447818236,192.3494673513,13.2416491254,64.6834186803,"SMD_OUT","OUT","10:00",113.8,576,720,14.6,6.92,68,4.666666667,NA,NA,1.100506734,190.15,0,3.48,NA,6.410888774,0.366773115,0.001100507,0.365672608,NA,NA,0.416375465,9.925374496,0.022496135,0.536252928,NA,100,4.666666667,0,0,1.096082607,0.10271198,0.469485095,2016-10-05 09:00:00,2016-10-05 09:00:00,787.496,7738.4,531.0666667046,NA,NA,125.2376663292,21639.07,0,396.024,NA,729.5591424812,41.738780487,41.6135427904,0.1252376966,NA,61.0255832064,1129.5076176448,531.0666667046,0,124.7342006766,11.688623324,53.427403811,NA,0.000849504597235712,0.600564405004156,-0.124817599141027,1,0.397088846362885,NA,-0.148541200762138,0.188620826069071,0.0134750790695418,0.986475150288384,NA,-0.5399338656154,-0.608246565662863,0.612834140853117,NA,NA,0.96582707807837,0.127937481089504,0.508914643240929,0.400217877450306,1,0.351523025281947,0.117283412865925,0.174017006196491,1,14.3156033965474,0.23440722862565,65.212922776679,77.8880121849236,20.4714738267736,21.8775805864508,0.108561542,0.081650357,0.011288499,Inf,13.2551227364664,"20161005","1045","1000"
2016-10-19,"SMD","2016","SMD_UP","UP","12:15",111.9,468,596,13.8,5.22,50.6,5.666666667,NA,NA,0,171.34,0.01,15.82,NA,5.444094938,0.267402332,0.01,0.257402332,NA,NA,0.677089388,16.1401579,0.034005911,0.810617887,NA,100,5.666666667,0,0,1.312373418,0.155339241,0.422741573,2016-10-19 11:15:00,2016-10-19 11:15:00,584.118,5662.14,634.1000000373,NA,NA,0,19172.946,1.119,1770.258,NA,609.1942235622,29.9223209508,28.8033209508,1.119,NA,90.7081415553,1806.08366901,634.1000000373,0,146.8545854742,17.3824610679,47.3047820187,"SMD_OUT","OUT","13:10",113.8,597,709,16.7,7.69,78.4,0.677966102,NA,NA,0,169.13,0.01,14.34,NA,5.959872511,0.293379341,0.01,0.283379341,NA,NA,1.160139859,27.65490175,0.02585743,0.616377995,NA,100,0.677966102,0,0,0.927580453,0.098484922,0.391864263,2016-10-19 12:10:00,2016-10-19 12:15:00,875.122,8921.92,77.1525424076,NA,NA,0,19246.994,1.138,1631.892,NA,678.2334917518,33.3865690058,32.2485690058,1.138,NA,70.143815831,3147.12781915,77.1525424076,0,105.5586555514,11.2075841236,44.5941531294,NA,0.00396435478709999,2.8026338900194,-0.0038621086190927,-0.0169794459338694,0.0781614883254305,NA,-0.113328829327862,-0.115774710815251,-0.119612875920973,-0.0169794459338694,NA,-0.498193858090317,-0.575715188956825,0.878327483988233,NA,NA,NA,0.226708709622973,-0.742514963813991,0.878327483988233,NA,0.281202863291287,0.355236057781431,0.0573013715236753,0,2.36551137590624,2.55190405051047,60.8888144530796,72.3156888128888,36.7456741710142,25.1324071366008,0.03087731,0,-0.025977009,-0.0471876844078395,1387.69652895713,"20161019","1215","1310"
