"DateTime","Nitrate","Nitrate_mg","SUNA_Error","SUNA_TLampC","SUNA_TSpecC","SUNA_LamptimeSec","SUNA_HumidityPerCent","SUNA_Volt12","SUNA_VoltReg","SUNA_VoltMain","SUNA_SpecAvg","SUNA_DarkAvg","PTemp","batt_volt_Min","Flag"
2020-04-29 07:00:00,"7999",13.94,12.06,7999,11.2,"12",5.23,12.21,636,637,"642","671",8.46,14.35,2
2020-04-29 07:15:00,"7999",13.94,12.06,7999,11.2,"12",5.23,12.21,636,637,"642","671",8.94,14.16,2
2020-04-29 07:30:00,"7999",13.94,12.06,7999,11.2,"12",5.23,12.21,636,637,"642","671",9.46,14.29,2
2020-04-29 07:45:00,"7999",13.94,12.06,7999,11.2,"12",5.23,12.21,636,637,"642","671",9.93,14.32,2
2020-04-29 08:00:00,"7999",13.94,12.06,7999,11.2,"12",5.23,12.21,636,637,"642","671",10.29,14.31,2
2020-04-29 08:15:00,"7999",13.94,12.06,7999,11.2,"12",5.23,12.21,636,637,"642","671",10.49,14.3,2
2020-04-29 08:30:00,"7999",13.94,-8.191,-8.191,-8.191,"NAN",-8.191,-8.191,-8.191,-8.191,"NAN","NAN",-8.191,-8.191,NA
2020-04-29 08:45:00,"NAN",NA,NA,NA,NA,"NAN",NA,NA,NA,NA,"NAN","NAN",11.98,14.25,NA
2020-04-29 09:00:00,"NAN",NA,NA,NA,NA,"NAN",NA,NA,NA,NA,"NAN","NAN",12.72,14.22,NA
2020-04-29 09:15:00,"NAN",NA,NA,NA,NA,"NAN",NA,NA,NA,NA,"NAN","NAN",13.33,14.21,NA
2020-04-29 09:30:00,"NAN",NA,NA,NA,NA,"NAN",NA,NA,NA,NA,"NAN","NAN",13.92,14.2,NA
2020-04-29 09:45:00,"0.203",0.003,0,17.41,15.37,"40803.2",7.09,11.88,5.451,12.71,"23559.65","640",14.32,14.19,NA
2020-04-29 10:00:00,"0.158",0.002,0,18.83,16.66,"40803.15",7.645,11.88,5.382,12.65,"23893.9","641",14.88,14.18,NA
2020-04-29 10:15:00,"0.118",0.002,0,19.11,16.91,"40803.2",7.655,11.9,5.421,12.68,"23971.8","645",15.14,14.17,NA
2020-04-29 10:30:00,"-0.016",0,0,19.35,17.68,"40803.15",7.465,11.9,5.42,12.65,"24000.15","647",15.39,14.16,NA
2020-04-29 10:45:00,"0.089",0.001,0,19.47,18.16,"40803.15",7.505,11.9,5.377,12.58,"24090.8","651",15.68,14.04,NA
2020-04-29 11:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",15.77,14.15,1
2020-04-29 11:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",15.58,14.16,1
2020-04-29 11:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",15.19,14.06,1
2020-04-29 11:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",14.83,13.8,1
2020-04-29 12:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",14.52,13.78,1
2020-04-29 12:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",14.25,13.69,1
2020-04-29 12:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",14.04,13.62,1
2020-04-29 12:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.85,13.6,1
2020-04-29 13:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.71,13.58,1
2020-04-29 13:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.59,13.56,1
2020-04-29 13:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.49,13.56,1
2020-04-29 13:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.45,13.56,1
2020-04-29 14:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.38,13.56,1
2020-04-29 14:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.35,13.58,1
2020-04-29 14:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.33,13.59,1
2020-04-29 14:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.3,13.59,1
2020-04-29 15:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.3,13.54,1
2020-04-29 15:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.28,13.57,1
2020-04-29 15:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.28,13.65,1
2020-04-29 15:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.28,13.59,1
2020-04-29 16:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.26,13.53,1
2020-04-29 16:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.23,13.44,1
2020-04-29 16:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.19,13.37,1
2020-04-29 16:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.14,13.3,1
2020-04-29 17:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13.07,13.24,1
2020-04-29 17:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",13,13.19,1
2020-04-29 17:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.93,13.14,1
2020-04-29 17:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.86,13.1,1
2020-04-29 18:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.77,13.07,1
2020-04-29 18:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.67,13.05,1
2020-04-29 18:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.56,13.03,1
2020-04-29 18:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.46,13.02,1
2020-04-29 19:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.35,13.01,1
2020-04-29 19:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.23,12.99,1
2020-04-29 19:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12.09,12.99,1
2020-04-29 19:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",12,12.98,1
2020-04-29 20:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.89,12.97,1
2020-04-29 20:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.77,12.97,1
2020-04-29 20:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.68,12.96,1
2020-04-29 20:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.56,12.96,1
2020-04-29 21:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.47,12.95,1
2020-04-29 21:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.36,12.95,1
2020-04-29 21:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.24,12.94,1
2020-04-29 21:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.15,12.94,1
2020-04-29 22:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",11.06,12.94,1
2020-04-29 22:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.97,12.93,1
2020-04-29 22:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.88,12.93,1
2020-04-29 22:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.81,12.93,1
2020-04-29 23:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.74,12.93,1
2020-04-29 23:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.65,12.93,1
2020-04-29 23:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.56,12.92,1
2020-04-29 23:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.52,12.92,1
2020-04-30 00:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.45,12.92,1
2020-04-30 00:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.38,12.92,1
2020-04-30 00:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.34,12.91,1
2020-04-30 00:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.27,12.91,1
2020-04-30 01:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.22,12.91,1
2020-04-30 01:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.16,12.91,1
2020-04-30 01:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.09,12.91,1
2020-04-30 01:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.02,12.9,1
2020-04-30 02:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.97,12.9,1
2020-04-30 02:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.93,12.89,1
2020-04-30 02:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.88,12.89,1
2020-04-30 02:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.84,12.89,1
2020-04-30 03:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.77,12.89,1
2020-04-30 03:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.75,12.89,1
2020-04-30 03:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.68,12.88,1
2020-04-30 03:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.64,12.88,1
2020-04-30 04:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.59,12.88,1
2020-04-30 04:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.57,12.89,1
2020-04-30 04:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.52,12.91,1
2020-04-30 04:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.5,12.93,1
2020-04-30 05:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.46,12.95,1
2020-04-30 05:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.41,13.01,1
2020-04-30 05:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.39,13.09,1
2020-04-30 05:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.39,13.12,1
2020-04-30 06:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.37,13.22,1
2020-04-30 06:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.35,13.24,1
2020-04-30 06:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.35,13.25,1
2020-04-30 06:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.32,13.29,1
2020-04-30 07:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.32,13.33,1
2020-04-30 07:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.3,13.47,1
2020-04-30 07:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.3,13.51,1
2020-04-30 07:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.28,13.6,1
2020-04-30 08:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.28,13.52,1
2020-04-30 08:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.26,13.61,1
2020-04-30 08:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.26,13.63,1
2020-04-30 08:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.24,13.72,1
2020-04-30 09:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.24,13.69,1
2020-04-30 09:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.24,13.68,1
2020-04-30 09:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.48,13.7,1
2020-04-30 09:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.82,13.64,1
2020-04-30 10:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10,13.63,1
2020-04-30 10:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.06,13.57,1
2020-04-30 10:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.16,13.6,1
2020-04-30 10:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.02,13.57,1
2020-04-30 11:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.88,13.6,1
2020-04-30 11:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.75,13.56,1
2020-04-30 11:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.66,13.5,1
2020-04-30 11:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.57,13.46,1
2020-04-30 12:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.5,13.46,1
2020-04-30 12:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.44,13.44,1
2020-04-30 12:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.39,13.45,1
2020-04-30 12:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.35,13.41,1
2020-04-30 13:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.3,13.36,1
2020-04-30 13:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.26,13.36,1
2020-04-30 13:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.21,13.38,1
2020-04-30 13:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.19,13.35,1
2020-04-30 14:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.17,13.4,1
2020-04-30 14:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.17,13.43,1
2020-04-30 14:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.12,13.42,1
2020-04-30 14:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.12,13.4,1
2020-04-30 15:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.12,13.38,1
2020-04-30 15:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.12,13.35,1
2020-04-30 15:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.1,13.32,1
2020-04-30 15:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.1,13.28,1
2020-04-30 16:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.08,13.24,1
2020-04-30 16:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.08,13.22,1
2020-04-30 16:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.06,13.18,1
2020-04-30 16:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.06,13.16,1
2020-04-30 17:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.06,13.13,1
2020-04-30 17:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.03,13.09,1
2020-04-30 17:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.03,13.07,1
2020-04-30 17:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.01,13.04,1
2020-04-30 18:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.01,13.03,1
2020-04-30 18:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.99,13.01,1
2020-04-30 18:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.99,13,1
2020-04-30 18:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.97,12.99,1
2020-04-30 19:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.94,12.97,1
2020-04-30 19:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.94,12.97,1
2020-04-30 19:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.94,12.96,1
2020-04-30 19:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.94,12.95,1
2020-04-30 20:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.94,12.95,1
2020-04-30 20:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.94,12.94,1
2020-04-30 20:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.92,12.94,1
2020-04-30 20:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.9,12.93,1
2020-04-30 21:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.9,12.93,1
2020-04-30 21:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.9,12.92,1
2020-04-30 21:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.9,12.92,1
2020-04-30 21:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.9,12.91,1
2020-04-30 22:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.88,12.91,1
2020-04-30 22:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.88,12.91,1
2020-04-30 22:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.88,12.9,1
2020-04-30 22:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.9,12.9,1
2020-04-30 23:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.88,12.9,1
2020-04-30 23:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.9,12.9,1
2020-04-30 23:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.9,12.89,1
2020-04-30 23:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.92,12.89,1
2020-05-01 00:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.94,12.89,1
2020-05-01 00:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.94,12.89,1
2020-05-01 00:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.97,12.88,1
2020-05-01 00:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",8.99,12.88,1
2020-05-01 01:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.01,12.87,1
2020-05-01 01:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.03,12.88,1
2020-05-01 01:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.03,12.87,1
2020-05-01 01:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.06,12.87,1
2020-05-01 02:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.08,12.87,1
2020-05-01 02:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.12,12.86,1
2020-05-01 02:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.15,12.86,1
2020-05-01 02:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.17,12.86,1
2020-05-01 03:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.19,12.86,1
2020-05-01 03:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.21,12.86,1
2020-05-01 03:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.24,12.86,1
2020-05-01 03:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.26,12.85,1
2020-05-01 04:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.3,12.85,1
2020-05-01 04:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.32,12.85,1
2020-05-01 04:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.35,12.85,1
2020-05-01 04:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.39,12.86,1
2020-05-01 05:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.44,12.87,1
2020-05-01 05:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.48,12.87,1
2020-05-01 05:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.52,12.88,1
2020-05-01 05:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.57,12.91,1
2020-05-01 06:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.62,12.94,1
2020-05-01 06:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.64,13,1
2020-05-01 06:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.68,13.02,1
2020-05-01 06:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.73,13.06,1
2020-05-01 07:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.75,13.06,1
2020-05-01 07:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.79,13.06,1
2020-05-01 07:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.84,13.09,1
2020-05-01 07:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.88,13.15,1
2020-05-01 08:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.91,13.19,1
2020-05-01 08:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.93,13.26,1
2020-05-01 08:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",9.97,13.31,1
2020-05-01 08:45:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.02,13.4,1
2020-05-01 09:00:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.04,13.44,1
2020-05-01 09:15:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.06,13.5,1
2020-05-01 09:30:00,"-0.05",-0.001,0,20.19,18.19,"40822",7.6,12,5.49,12.63,"24172","651",10.11,13.61,1
